date,site
8/18/2011,0
8/25/2011,0
9/1/2011,0
9/8/2011,0
9/15/2011,0
9/22/2011,0
9/29/2011,0
10/6/2011,0
10/13/2011,0
10/20/2011,0
10/27/2011,0
11/3/2011,0
11/10/2011,0
11/17/2011,0
11/24/2011,0
12/1/2011,0
12/8/2011,0
12/15/2011,0
12/22/2011,0
12/29/2011,0
1/5/2012,0
1/12/2012,0
1/19/2012,0
1/26/2012,0
2/2/2012,0
2/9/2012,0
2/16/2012,0
2/23/2012,0
3/1/2012,0
3/8/2012,0
3/15/2012,0
3/22/2012,0
3/29/2012,0
4/5/2012,0
4/12/2012,0
4/19/2012,0
4/26/2012,0
5/3/2012,0
5/10/2012,0
5/17/2012,0
5/24/2012,0
5/31/2012,0
6/7/2012,0
6/14/2012,0
6/21/2012,0.142857143
6/28/2012,1
7/5/2012,1
7/12/2012,1
7/19/2012,1
7/26/2012,1
8/2/2012,1
8/9/2012,0
8/16/2012,0
8/23/2012,0
8/30/2012,0
9/6/2012,0
9/13/2012,0
9/20/2012,0
9/27/2012,0
10/4/2012,0
10/11/2012,0
10/18/2012,0
10/25/2012,0
11/1/2012,0
11/8/2012,0
11/15/2012,0
11/22/2012,0
11/29/2012,0
12/6/2012,0
12/13/2012,0
12/20/2012,0
12/27/2012,0
1/3/2013,0
1/10/2013,0
1/17/2013,0
1/24/2013,0
1/31/2013,0
2/7/2013,0
2/14/2013,0
2/21/2013,0
2/28/2013,0
3/7/2013,0
3/14/2013,0
3/21/2013,0
3/28/2013,0
4/4/2013,0.142857143
4/11/2013,1
4/18/2013,1
4/25/2013,1
5/2/2013,0.428571429
5/9/2013,0
5/16/2013,0
5/23/2013,0
5/30/2013,0
6/6/2013,0
6/13/2013,0
6/20/2013,0
6/27/2013,0
7/4/2013,0
7/11/2013,0
7/18/2013,0
7/25/2013,0
8/1/2013,1
8/8/2013,1
8/15/2013,1
8/22/2013,1
8/29/2013,1
9/5/2013,1
9/12/2013,1
9/19/2013,1
9/26/2013,1
10/3/2013,1
10/10/2013,1
10/17/2013,1
10/24/2013,1
10/31/2013,1
11/7/2013,1
11/14/2013,1
11/21/2013,1
11/28/2013,0.714285714
12/5/2013,0
12/12/2013,0
12/19/2013,0
12/26/2013,0
1/2/2014,0
1/9/2014,0
1/16/2014,0
1/23/2014,0
1/30/2014,0
2/6/2014,0
2/13/2014,0
2/20/2014,0
2/27/2014,0
3/6/2014,0
3/13/2014,0
3/20/2014,0
3/27/2014,0
4/3/2014,0
4/10/2014,0
4/17/2014,0
4/24/2014,0
5/1/2014,0
5/8/2014,0
5/15/2014,0
5/22/2014,0
5/29/2014,0
6/5/2014,0
6/12/2014,0
6/19/2014,0
6/26/2014,0
7/3/2014,0
7/10/2014,0
7/17/2014,0
7/24/2014,0
7/31/2014,0
8/7/2014,0
8/14/2014,0
8/21/2014,0
8/28/2014,0
9/4/2014,0
9/11/2014,0
9/18/2014,0
9/25/2014,0
10/2/2014,0
10/9/2014,0
10/16/2014,0
10/23/2014,0
10/30/2014,0
11/6/2014,0
11/13/2014,0
11/20/2014,0
11/27/2014,0
12/4/2014,0
12/11/2014,0
12/18/2014,0
12/25/2014,0
1/1/2015,0
1/8/2015,0
1/15/2015,0
1/22/2015,0
1/29/2015,0
2/5/2015,0
2/12/2015,0
