date,site,sitebi,sitepred,cloud,rain,tempc,salc,veluc,velvc,tempf,salf,veluf,velvf,tempd,sald,velud,velvd,day,close,far,tempcano,tempfano
5/14/2011,0,0,0,42.79638672,0.37248022,28.62133036,14014.75893,49.71428571,-53.90178571,28.48122078,13848.11039,-10.13636364,-89,2.105207792,14622.78571,17.29220779,-76.11688312,134,826.5446429,812.5909091,-0.731945661,-0.851003896
5/21/2011,0,0,0,25.00710678,0.261323772,29.10384821,13872.42857,-67.51785714,-97.15178571,29.16075325,13807.43506,-116.5324675,-95.46103896,2.170006494,14622.84416,17.77272727,-81.7012987,141,856.9285714,833.3896104,-0.371573921,-0.31190054
5/28/2011,0,0,0,68.35351563,0.402002096,29.22622321,13888.70536,100.5089286,-24.08035714,29.37897403,14117.90909,131.7597403,-129.3246753,2.168876623,14624.1039,13.54545455,-71.03896104,148,896.0089286,887.6753247,-0.349703219,-0.214083193
6/4/2011,0,0,0,41.75353241,0.242140338,28.92233929,14130.64286,11.51785714,2,28.94201299,14133.11688,67.66883117,-235.9155844,2.173142857,14629.85065,7.155844156,-68.63636364,155,886.1696429,865.9090909,-0.731479049,-0.749398493
6/11/2011,0,0,0,44.99993896,0.282529118,28.82083036,14108.21429,-64.33035714,70.6875,28.85805195,14030.37013,-33.16233766,-54.44155844,2.205233766,14629.18831,11.37012987,-63.56493506,162,864.7321429,862.5064935,-0.888409311,-0.908739824
6/18/2011,0,0,0,51.38209915,0.578687971,29.18278571,14195.6875,115.4464286,-276.1607143,29.21004545,14170.78571,144.3831169,-402.7012987,2.194824675,14629.07792,8.850649351,-34.32467532,169,850.6071429,814.1883117,-0.560583358,-0.609310973
6/25/2011,0,0,0,69.27495575,0.560649534,29.03194643,14301.65179,189.3482143,-327.4910714,28.74322727,14134.85065,231.8571429,-532.8896104,2.185188312,14630.73377,20.21428571,-77.53896104,176,859.0803571,811.0714286,-0.726343908,-1.10704497
7/2/2011,0,0,0,49.35354233,0.221059623,29.16301786,14279.33036,2.589285714,-100.5892857,29.01488961,14122.75974,-23.83116883,-215.5194805,2.18837013,14631.88961,6.103896104,-50.07792208,183,892.4464286,878.4480519,-0.593795315,-0.846696485
7/9/2011,0,0,0,47.30350876,0.20482896,28.84432143,14159.05357,-39.125,160.7946429,29.07668831,14148.87013,7.753246753,-158.2727273,2.174253247,14632.72078,7.980519481,-32.16883117,190,828.5267857,829.1623377,-0.897936075,-0.779362699
7/16/2011,0,0,0,48.73566437,0.074361329,29.16977679,14218.61607,-35.625,153.7142857,29.30517532,14248.15584,4.837662338,-16.38311688,2.176792208,14630.65584,-1.603896104,-18.85714286,197,828.5803571,817.4025974,-0.548437899,-0.531742299
7/23/2011,0,0,0,56.68921661,0.483045359,29.35549107,14329.99107,71.99107143,-76.38392857,29.37213636,14324.75974,69.67532468,-327.1558442,2.20311039,14629.47403,-15.27272727,17.1038961,204,870.6339286,864.0974026,-0.332808985,-0.435567431
7/30/2011,0,0,0,87.6999588,0.931864808,28.45301786,14339.79464,198.7946429,-120.5267857,29.00945455,14256.07792,241.2597403,-285.0844156,2.192636364,14632.01948,-20.52597403,26.12987013,211,886.9196429,857.6688312,-1.202893796,-0.762501754
8/6/2011,0,0,0,84.3499527,0.039988142,28.99248214,14410.05357,121.3303571,-338.8482143,29.08031818,14330.5974,280.7532468,-592.1948052,2.176753247,14630.32468,4.935064935,-20.64285714,218,885.0535714,831.0584416,-0.631527522,-0.652700723
8/13/2011,0,0,0,51.14995575,0.557533974,29.35104464,14405.59821,144.3482143,-382.3125,29.2009026,14345.9026,137.0844156,-646.9285714,2.187538961,14627.94805,-9.435064935,9.681818182,225,898.7232143,842.4350649,-0.243884836,-0.492917898
8/20/2011,0,0,1,32.12852097,0.196298094,29.57748214,14357.91071,50.3125,-180.5267857,29.52362987,14314.6039,53.52597403,-466.512987,2.198707792,14628.98052,0.980519481,-4.779220779,232,827.875,791.1753247,0.007242515,-0.133066171
