CODE,REGION,SITE
11,PANGASINAN,CW_BOLINAO
12,PANGASINAN,CW_ANDA
13,PANGASINAN,WAWA
14,PANGASINAN,CW_BATAAN
15,PANGASINAN,MASINLOC_BAY
16,PANGASINAN,CW_ALAMINOS
17,PANGASINAN,PAMPANGA
18,PANGASINAN,CW_SUAL
21,SORSOGON,JUAG_LAGOON
22,SORSOGON,SORSOGON_BAY
31,SAMAR,IRONG-IRONG_BAY
32,SAMAR,MATARINAO_BAY
33,SAMAR,CAMATUTAY_BAY
34,SAMAR,CW_CALBAYOG
35,SAMAR,MAQUEDA&VILLAREAL
36,SAMAR,CW_DARAM
37,SAMAR,SAN_PEDRO_BAY
38,SAMAR,SILANGA_BAY
39,SAMAR,SUMARRAGA
161,SAMAR,GUIUAN
41,LEYTE,CARIGARA_BAY
42,LEYTE,CANCABATO_BAY
43,LEYTE,BILIRAN_ISLAND
44,LEYTE,CW_LEYTE
45,LEYTE,CW_CALUBIAN
46,LEYTE,ORMOC_BAY
51,SURIGAO_DEL_SUR,LIANGA_BAY
52,SURIGAO_DEL_SUR,BISLIG_BAY
53,SURIGAO_DEL_SUR,HINATUAN_BAY
54,SURIGAO_DEL_SUR,LITALIT_BAY
61,DAVAO_ORIENTAL,BALITE_BAY
62,DAVAO_ORIENTAL,CW_SANTAMARIA
71,ZAMBOANGA_DEL_SUR,DUMAINQUILLAS_BAY
72,ZAMBOANGA_DEL_SUR,SIBUGUEY_BAY
81,ZAMBOANGA_DEL_NORTE,MURCIELAOUS_BAY
82,ZAMBOANGA_DEL_NORTE,CW_OZAMIZ
83,ZAMBOANGA_DEL_NORTE,TAGOINES_LAGOON
84,ZAMBOANGA_DEL_NORTE,BAROGINLONAO
91,BOHOL,CW_DAVIS
101,MASBATE,CW_MILAGROS
102,MASBATE,CW_MANDAON
103,MASBATE,CW_PLACAR
111,NEGROS_ORIENTAL,CW_SIATON
112,NEGROS_ORIENTAL,SIIT_BAY
113,NEGROS_ORIENTAL,TAMBOBA_BAY
131,MINDORO,CW_GIGANTES
132,MINDORO,SAPIAN_BAY
133,MINDORO,CW_PILAR
134,MINDORO,BATA_BAY
135,MINDORO,PRESIDENT_ROXAS
136,MINDORO,PANEY
141,PALAWAN,HONDA_BAY
142,PALAWAN,PUERTO_PRINCESSA
143,PALAWAN,INNER_MALAMPAYA_SOUND
