"","report","Matariano Bay in eastern Samar","Battan Coastal waters","coastal waters of Bolinao and Anda in Pangasinan","Balite Bay in Mati Davao Oriental","coastal waters of Milagros in Masbate","Irong-Irong Bay western samar","Cambatutay Bay  Western Samar"
"1",2011-12-25,1,1,0,0,0,0,0
"2",2012-02-09,1,1,1,0,0,0,0
"3",2012-04-03,0,1,0,0,0,0,0
"4",2012-05-16,1,1,0,0,0,0,0
"5",2012-06-04,1,1,0,1,0,0,0
"6",2012-06-21,1,0,0,1,1,0,0
"7",2012-07-26,0,0,0,1,1,0,0
"8",2012-08-03,0,0,0,0,1,0,0
"9",2012-10-12,0,0,0,0,0,0,0
"10",2012-11-23,0,0,1,0,0,0,0
"11",2012-12-20,0,0,0,0,0,0,0
"12",2013-04-04,0,0,0,1,0,0,0
"13",2013-04-29,0,0,0,0,0,0,0
"14",2013-06-10,1,0,0,0,0,0,0
"15",2013-06-04,1,0,0,0,0,1,1
"16",2013-07-26,1,0,0,1,0,1,1
"17",2013-08-05,1,0,0,1,1,1,1
"18",2013-09-04,1,0,0,1,1,0,0
"19",2013-10-02,0,0,0,1,1,0,0
"20",2013-11-04,0,1,0,1,1,0,0
"21",2013-11-19,0,1,0,1,0,0,0
"22",2013-11-27,0,1,0,0,0,0,0
"23",2014-03-05,0,1,1,0,0,0,0
"24",2014-04-01,0,1,1,0,1,0,0
"25",2014-04-10,0,1,0,0,1,0,0
"26",2014-04-24,0,1,0,0,0,0,0
"27",2014-06-14,0,1,0,0,0,1,0
"28",2014-08-15,0,0,0,0,0,1,0
"29",2014-08-29,0,0,0,0,1,1,0
"30",2014-09-11,0,0,0,0,1,0,0
"31",2014-10-04,0,1,0,0,1,0,0
"32",2014-12-04,0,1,1,0,1,0,0
"33",2015-01-30,0,1,0,0,1,0,0
"34",2015-02-16,0,1,0,0,0,0,0
"35",2015-02-21,0,0,0,0,0,0,0
"36",2015-03-19,0,0,1,0,0,0,0
"37",2015-04-11,0,0,1,1,0,0,0
"38",2015-04-24,0,0,0,1,0,0,0
"39",2015-06-25,0,0,0,1,0,1,0
"40",2015-07-10,0,0,0,1,1,1,0
"41",2015-08-15,0,0,0,1,1,0,0
"42",2015-10-15,0,0,0,1,1,0,1
"43",2015-11-13,0,0,0,1,1,1,1
"44",2015-12-05,0,0,0,1,0,1,1
"45",2016-03-05,0,0,0,0,0,1,1
"46",2016-03-08,0,0,0,0,0,0,1
"47",2016-04-08,0,0,0,0,0,0,0
"48",2016-05-31,0,0,0,0,0,1,0
"49",2016-06-08,0,0,0,0,0,1,1
"50",2016-07-22,1,0,0,0,0,1,1
"51",2016-10-26,1,0,0,0,1,1,1
"52",2016-11-22,1,0,0,0,0,1,1
"53",2017-01-17,1,0,0,1,0,1,1
"54",2017-03-01,1,0,0,0,0,1,1
"55",2017-03-06,1,0,0,0,1,1,0
"56",2017-03-16,0,0,0,0,1,1,0
