,report,Matariano Bay in eastern Samar,Battan Coastal waters,coastal waters of Bolinao and Anda in Pangasinan,Balite Bay in Mati Davao Oriental,coastal waters of Milagros in Masbate,Irong-Irong Bay western samar,Cambatutay Bay  Western Samar
1,12/25/2011,1,1,0,0,0,0,0
2,2/9/2012,1,1,1,0,0,0,0
3,4/3/2012,0,1,0,0,0,0,0
4,5/16/2012,1,1,0,0,0,0,0
5,6/4/2012,1,1,0,1,0,0,0
6,6/21/2012,1,0,0,1,1,0,0
7,7/26/2012,0,0,0,1,1,0,0
8,8/3/2012,0,0,0,0,1,0,0
9,10/12/2012,0,0,0,0,0,0,0
10,11/23/2012,0,0,1,0,0,0,0
11,12/20/2012,0,0,0,0,0,0,0
12,4/4/2013,0,0,0,1,0,0,0
13,4/29/2013,0,0,0,0,0,0,0
14,6/10/2013,1,0,0,0,0,0,0
15,6/4/2013,1,0,0,0,0,1,1
16,7/26/2013,1,0,0,1,0,1,1
17,8/5/2013,1,0,0,1,1,1,1
18,9/4/2013,1,0,0,1,1,0,0
19,10/2/2013,0,0,0,1,1,0,0
20,11/4/2013,0,1,0,1,1,0,0
21,11/19/2013,0,1,0,1,0,0,0
22,11/27/2013,0,1,0,0,0,0,0
23,3/5/2014,0,1,1,0,0,0,0
24,4/1/2014,0,1,1,0,1,0,0
25,4/10/2014,0,1,0,0,1,0,0
26,4/24/2014,0,1,0,0,0,0,0
27,6/14/2014,0,1,0,0,0,1,0
28,8/15/2014,0,0,0,0,0,1,0
29,8/29/2014,0,0,0,0,1,1,0
30,9/11/2014,0,0,0,0,1,0,0
31,10/4/2014,0,1,0,0,1,0,0
32,12/4/2014,0,1,1,0,1,0,0
33,1/30/2015,0,1,0,0,1,0,0
34,2/16/2015,0,1,0,0,0,0,0
35,2/21/2015,0,0,0,0,0,0,0
36,3/19/2015,0,0,1,0,0,0,0
37,4/11/2015,0,0,1,1,0,0,0
38,4/24/2015,0,0,0,1,0,0,0
39,6/25/2015,0,0,0,1,0,1,0
40,7/10/2015,0,0,0,1,1,1,0
41,8/15/2015,0,0,0,1,1,0,0
42,10/15/2015,0,0,0,1,1,0,1
43,11/13/2015,0,0,0,1,1,1,1
44,12/5/2015,0,0,0,1,0,1,1
45,3/5/2016,0,0,0,0,0,1,1
46,3/8/2016,0,0,0,0,0,0,1
47,4/8/2016,0,0,0,0,0,0,0
48,5/31/2016,0,0,0,0,0,1,0
49,6/8/2016,0,0,0,0,0,1,1
50,7/22/2016,1,0,0,0,0,1,1
51,10/26/2016,1,0,0,0,1,1,1
52,11/22/2016,1,0,0,0,0,1,1
53,1/17/2017,1,0,0,1,0,1,1
54,3/1/2017,1,0,0,0,0,1,1
55,3/6/2017,1,0,0,0,1,1,0
56,3/16/2017,0,0,0,0,1,1,0
57,3/30/2017,0,0,0,0,1,0,0
58,4/7/2017,0,0,1,0,1,0,0
59,4/12/2017,0,0,1,0,0,0,0
60,5/26/2017,0,0,0,0,0,0,0
61,6/22/2017,0,0,0,0,0,1,0
62,8/8/2017,0,0,0,1,0,1,0
63,8/15/2017,1,0,0,1,0,1,0
64,8/30/2017,1,0,0,1,1,1,0
65,9/15/2017,1,0,0,0,1,1,0
66,10/30/2017,1,0,0,0,0,1,0
67,11/10/2017,1,0,0,0,0,1,1
68,11/17/2017,1,1,0,0,0,1,1
69,1/12/2018,1,1,0,0,0,1,0
70,1/30/2018,1,1,0,0,1,1,0
71,2/1/2018,0,1,0,0,1,1,0
72,2/15/2018,0,0,0,0,1,1,0
73,3/7/2018,0,0,0,0,0,1,0
74,3/21/2018,0,0,0,0,0,0,0
75,8/10/2018,1,0,0,0,0,0,0
76,9/21/2018,1,0,0,0,1,0,0
77,11/23/2018,1,1,0,0,1,0,0
78,12/14/2018,1,1,0,0,0,0,0
79,2/7/2019,1,0,0,0,0,0,0
80,2/28/2019,0,0,0,0,0,0,0
81,4/4/2019,0,0,0,1,0,0,0
82,7/24/2019,0,0,0,1,0,1,1
83,8/9/2019,0,0,0,0,0,1,1
84,9/9/2019,0,0,0,0,0,1,0
85,10/30/2019,0,1,0,0,0,1,0
86,12/13/2019,1,1,0,0,0,1,0
87,1/22/2020,0,0,0,0,0,1,0
88,2/21/2020,0,0,0,1,0,1,0
89,3/9/2020,0,0,0,1,0,0,0
90,9/2/2020,1,0,0,1,0,0,0
91,10/2/2020,1,0,0,1,1,1,0
92,10/19/2020,1,1,0,1,1,1,0
93,11/27/2020,1,1,0,1,1,1,1
94,12/14/2020,0,1,0,1,1,1,1
95,12/22/2020,0,0,0,1,1,0,0
96,1/12/2021,1,0,0,1,1,0,1
97,1/28/2021,1,0,0,1,0,0,1
98,3/10/2021,0,0,0,1,0,0,0
99,5/8/2021,0,0,0,1,0,0,1
100,5/12/2021,0,0,0,1,0,1,1
101,6/25/2021,0,0,0,1,1,1,1
102,7/1/2021,1,0,0,1,1,1,0
103,7/14/2021,1,0,0,1,1,0,0
104,8/6/2021,1,0,0,0,1,0,0
105,9/10/2021,0,0,0,0,1,0,0
106,9/24/2021,0,0,0,0,0,0,0
107,10/21/2021,1,0,0,0,0,0,1
108,11/5/2021,1,0,0,0,0,1,1
109,11/12/2021,1,1,0,0,0,1,1
110,11/26/2021,1,1,0,0,0,0,0
111,12/6/2021,1,1,0,0,1,0,0
112,2/7/2022,0,1,0,0,1,0,0
113,3/2/2022,0,0,0,0,1,0,0
114,4/14/2022,0,0,1,0,1,0,0
115,6/17/2022,0,0,0,0,1,0,0
116,7/22/2022,0,0,0,0,0,0,0
117,9/9/2022,1,0,0,0,0,0,0
118,10/7/2022,1,0,0,0,1,0,0
119,10/21/2022,0,0,0,0,1,1,0
