date,A,B,C,D,E,F,Davo
25-Dec-11,,,,,,,
6-Jan-12,2,0,1,1,1,0,0
20-Jan-12,2,0,1,1,1,0,0
27-Jan-12,3,0,1,1,1,0,0
9-Feb-12,4,0,1,1,1,0,0
23-Feb-12,5,0,1,1,1,0,0
29-Feb-12,4,0,1,1,1,0,0
14-Mar-12,4,0,1,1,1,0,0
30-Mar-12,4,0,1,1,1,0,0
3-Apr-12,2,0,0,1,1,0,0
17-Apr-12,2,0,0,1,1,0,0
3-May-12,1,0,0,1,1,0,0
16-May-12,1,0,1,1,1,0,0
30-May-12,1,0,1,1,1,0,0
4-Jun-12,1,0,1,1,1,1,1
21-Jun-12,0,0,2,1,1,1,1
5-Jul-12,0,0,2,1,1,1,1
18-Jul-12,0,0,2,1,1,1,1
26-Jul-12,0,0,1,1,1,1,1
3-Aug-12,0,0,1,1,1,0,0
17-Aug-12,0,0,1,1,1,0,0
31-Aug-12,0,0,1,1,1,0,0
14-Sep-12,0,0,1,1,1,0,0
28-Sep-12,0,0,1,1,1,0,0
12-Oct-12,0,0,0,1,1,0,0
25-Oct-12,0,0,0,1,1,0,0
8-Nov-12,0,0,0,1,1,0,0
23-Nov-12,1,0,0,1,1,0,0
7-Dec-12,1,0,0,1,1,0,0
20-Dec-12,0,0,0,1,1,0,0
9-Jan-13,0,0,0,1,1,0,0
23-Jan-13,0,0,0,1,1,0,0
6-Feb-13,0,0,0,1,1,0,0
19-Feb-13,0,0,0,1,1,0,0
6-Mar-13,0,0,0,1,1,0,0
20-Mar-13,0,0,0,1,1,0,0
3-Apr-13,0,0,0,1,1,0,0
4-Apr-13,0,0,0,1,1,1,1
17-Apr-13,0,0,0,1,1,1,1
29-Apr-13,0,0,0,1,1,0,0
14-May-13,0,0,0,1,1,0,0
28-May-13,0,0,0,1,1,0,0
10-Jun-13,0,0,1,1,1,0,0
24-Jun-13,0,0,1,1,1,0,0
4-Jun-13,0,0,3,1,1,0,0
9-Jul-13,0,0,4,1,1,0,0
23-Jul-13,0,0,4,1,1,0,0
26-Jul-13,0,0,4,1,1,1,1
5-Aug-13,0,0,4,1,1,1,1
7-Aug-13,0,0,5,1,1,1,1
22-Aug-13,0,0,5,1,1,1,1
4-Sep-13,0,0,2,1,1,1,1
18-Sep-13,0,0,2,1,1,1,1
2-Oct-13,0,0,1,1,1,1,1
18-Oct-13,0,0,1,1,1,1,1
4-Nov-13,1,0,1,1,1,1,1
19-Nov-13,1,0,0,1,1,1,1
27-Nov-13,1,0,0,1,1,0,0
11-Dec-13,1,0,0,1,1,0,0
16-Dec-13,1,0,0,0,1,0,0
2-Jan-14,1,0,0,0,1,0,0
13-Jan-14,1,0,0,0,2,0,0
17-Jan-14,1,0,0,0,2,0,0
10-Feb-14,1,0,0,0,1,0,0
26-Feb-14,1,0,0,0,1,0,0
5-Mar-14,2,0,0,0,1,0,0
19-Mar-14,2,0,0,0,1,0,0
1-Apr-14,2,0,1,0,1,0,0
10-Apr-14,1,0,1,0,1,0,0
24-Apr-14,1,0,0,0,1,0,0
8-May-14,1,0,0,0,1,0,0
19-May-14,1,0,0,0,0,0,0
2-Jun-14,1,0,1,0,0,0,0
14-Jun-14,1,0,2,0,0,0,0
27-Jun-14,1,0,2,0,0,0,0
1-Jul-14,1,0,2,0,0,0,0
5-Jul-14,1,0,3,0,0,0,0
18-Jul-14,1,0,2,0,0,0,0
24-Jul-14,1,0,3,0,0,0,0
7-Aug-14,1,0,1,0,0,0,0
15-Aug-14,0,0,1,0,0,0,0
29-Aug-14,0,0,2,0,0,0,0
11-Sep-14,0,0,1,0,0,0,0
24-Sep-14,1,0,1,0,0,0,0
4-Oct-14,2,0,1,0,0,0,0
17-Oct-14,2,0,2,0,0,0,0
30-Oct-14,3,0,2,0,0,0,0
14-Nov-14,3,0,2,0,0,0,0
19-Nov-14,2,0,2,0,0,0,0
2-Dec-14,2,0,2,0,0,0,0
4-Dec-14,2,0,1,0,0,0,0
18-Dec-14,2,0,1,0,0,0,0
5-Jan-15,2,0,1,0,0,0,0
22-Jan-15,2,0,1,0,0,0,0
30-Jan-15,1,0,1,0,0,0,0
16-Feb-15,1,0,0,0,0,0,0
21-Feb-15,0,0,0,0,0,0,0
6-Mar-15,0,0,0,0,0,0,0
19-Mar-15,1,0,0,0,0,0,0
1-Apr-15,1,0,0,0,0,0,0
11-Apr-15,1,0,0,0,0,1,1
24-Apr-15,0,0,0,0,0,1,1
15-May-15,0,0,0,0,0,1,1
22-May-15,0,0,0,0,0,1,1
5-Jun-15,0,0,0,0,0,1,1
8-Jun-15,0,0,1,0,0,1,1
22-Jun-15,0,0,1,0,0,1,1
24-Jun-15,0,0,1,1,0,1,1
25-Jun-15,0,0,2,1,0,1,1
10-Jul-15,0,0,3,1,0,1,1
24-Jul-15,0,0,2,1,0,1,1
7-Aug-15,0,0,2,1,0,1,1
15-Aug-15,0,0,1,1,0,1,1
29-Aug-15,0,0,2,1,0,1,1
11-Sep-15,0,0,2,1,0,1,1
24-Sep-15,0,0,2,1,0,1,1
8-Oct-15,0,0,1,1,0,1,1
15-Oct-15,0,0,3,1,0,1,1
23-Oct-15,0,0,4,1,0,1,1
6-Nov-15,0,0,4,1,0,1,1
13-Nov-15,0,0,7,1,0,1,1
21-Nov-15,0,0,9,1,0,1,1
24-Nov-15,0,0,10,1,0,1,1
26-Nov-15,0,0,9,1,0,1,1
5-Dec-15,0,0,8,1,0,1,1
18-Dec-15,0,0,8,1,0,1,1
23-Dec-15,0,0,8,1,0,1,1
7-Jan-16,0,0,9,1,0,1,1
22-Jan-16,0,0,9,1,0,1,1
29-Jan-16,0,0,8,1,0,1,1
12-Feb-16,0,0,7,1,0,1,1
18-Feb-16,0,0,5,1,0,1,1
2-Mar-16,0,0,6,1,0,1,1
5-Mar-16,0,0,5,1,0,0,0
8-Mar-16,0,0,5,1,0,0,0
19-Mar-16,0,0,5,0,0,0,0
29-Mar-16,0,0,4,0,0,0,0
1-Apr-16,0,0,3,0,0,0,0
4-Apr-16,0,0,1,0,0,0,0
8-Apr-16,0,0,0,0,0,0,0
23-Apr-16,0,0,0,0,0,0,0
10-May-16,0,0,0,0,0,0,0
24-May-16,0,0,0,0,0,0,0
31-May-16,0,0,1,0,0,0,0
8-Jun-16,0,0,2,0,0,0,0
22-Jun-16,0,0,2,0,0,0,0
5-Jul-16,0,0,2,0,0,0,0
20-Jul-16,0,0,3,0,0,0,0
22-Jul-16,0,0,4,0,0,0,0
1-Aug-16,0,0,5,0,0,0,0
15-Aug-16,0,0,5,0,0,0,0
25-Aug-16,0,0,8,0,0,0,0
7-Sep-16,0,0,7,0,0,0,0
21-Sep-16,0,0,6,0,0,0,0
26-Sep-16,0,0,5,0,0,0,0
10-Oct-16,0,0,5,0,0,0,0
14-Oct-16,0,0,6,0,0,0,0
26-Oct-16,0,0,7,0,0,0,0
27-Oct-16,0,0,8,0,0,0,0
10-Nov-16,0,0,8,0,0,0,0
11-Nov-16,0,0,9,0,0,0,0
19-Nov-16,0,0,9,1,0,0,0
22-Nov-16,0,0,8,1,0,0,0
6-Dec-16,0,0,8,1,0,0,0
20-Dec-16,0,0,8,1,0,0,0
28-Dec-16,0,0,8,1,0,0,0
31-Dec-16,0,0,9,1,0,0,0
12-Jan-17,0,0,8,1,0,0,0
14-Jan-17,0,0,9,1,0,0,0
17-Jan-17,0,0,9,1,0,1,1
30-Jan-17,0,0,9,1,0,1,1
2-Feb-17,0,0,8,1,0,1,1
17-Feb-17,0,0,7,1,0,1,1
1-Mar-17,0,0,7,1,0,0,0
6-Mar-17,0,0,7,1,0,0,0
8-Mar-17,0,0,6,1,0,0,0
16-Mar-17,0,0,4,1,0,0,0
30-Mar-17,0,0,3,1,0,0,0
4-Apr-17,0,0,2,1,0,0,0
7-Apr-17,1,0,1,1,0,0,0
12-Apr-17,1,0,0,1,0,0,0
26-Apr-17,1,0,0,1,0,0,0
10-May-17,1,0,0,0,0,0,0
26-May-17,0,0,0,0,0,0,0
9-Jun-17,0,0,0,0,0,0,0
22-Jun-17,0,0,1,0,0,0,0
26-Jun-17,0,0,2,0,0,0,0
3-Jul-17,0,0,2,0,0,0,0
7-Jul-17,0,0,3,0,0,0,0
20-Jul-17,0,0,3,0,0,0,0
28-Jul-17,0,0,3,0,0,0,0
3-Aug-17,0,0,3,1,0,0,0
8-Aug-17,0,0,3,1,0,1,1
15-Aug-17,0,0,6,1,0,1,1
22-Aug-17,0,0,7,1,0,1,1
25-Aug-17,0,0,8,1,0,1,1
30-Aug-17,0,0,8,1,0,1,1
15-Sep-17,0,0,8,1,0,0,0
29-Sep-17,0,0,8,1,0,0,0
9-Oct-17,0,0,8,0,0,0,0
12-Oct-17,0,0,7,0,0,0,0
30-Oct-17,0,0,6,0,0,0,0
10-Nov-17,0,0,7,0,0,0,0
17-Nov-17,1,0,7,0,0,0,0
18-Nov-17,1,0,7,0,0,0,0
1-Dec-17,1,0,7,0,0,0,0
5-Dec-17,1,0,7,0,0,0,0
8-Dec-17,1,0,7,0,0,1,0
16-Dec-17,1,0,7,0,0,1,0
28-Dec-17,1,0,8,0,0,1,0
12-Jan-18,1,0,6,0,0,1,0
15-Jan-18,1,0,5,0,0,1,0
29-Jan-18,1,0,4,0,0,1,0
30-Jan-18,1,0,5,0,0,1,0
1-Feb-18,1,0,4,0,0,1,0
15-Feb-18,0,0,4,0,0,1,0
2-Mar-18,0,0,5,0,0,1,0
7-Mar-18,0,0,4,0,0,1,0
20-Mar-18,0,0,4,0,0,1,0
21-Mar-18,0,0,3,0,0,1,0
22-Mar-18,0,0,3,1,0,1,0
6-Apr-18,0,0,3,1,0,1,0
16-Apr-18,0,0,2,1,0,1,0
2-May-18,0,0,2,1,0,1,0
21-May-18,0,0,2,1,0,1,0
5-Jun-18,0,0,2,1,0,1,0
19-Jun-18,0,0,2,1,0,1,0
25-Jun-18,0,0,2,1,0,1,0
13-Jul-18,0,0,1,1,0,0,0
28-Jul-18,0,0,1,1,0,2,0
10-Aug-18,0,0,1,1,0,2,0
29-Aug-18,0,0,1,1,0,1,0
7-Sep-18,0,0,1,1,0,0,0
21-Sep-18,0,0,2,1,0,1,0
25-Sep-18,0,0,2,1,0,1,0
12-Oct-18,0,0,2,1,0,1,0
29-Oct-18,0,0,2,1,0,1,0
