date,Location,Layer,Variable,Value
3/11/2018,Visayan,0,Temp,27.56619167
3/11/2018,Visayan,0,Sal,14289.45833
3/11/2018,Visayan,0,Velu,-233.325
3/11/2018,Visayan,0,Velv,9.991666667
3/11/2018,southsibuyan,0,Temp,28.092225
3/11/2018,southsibuyan,0,Sal,13760.24167
3/11/2018,southsibuyan,0,Velu,-135.1583333
3/11/2018,southsibuyan,0,Velv,-41.94166667
3/11/2018,southsibuyan,1,Temp,12.92272727
3/11/2018,southsibuyan,1,Sal,15554.18182
3/11/2018,southsibuyan,1,Velu,-0.866666667
3/11/2018,southsibuyan,1,Velv,0.016666667
3/11/2018,sibuyan,0,Temp,27.91945833
3/11/2018,sibuyan,0,Sal,14110.425
3/11/2018,sibuyan,0,Velu,-118.6666667
3/11/2018,sibuyan,0,Velv,-3.7
3/11/2018,sibuyan,1,Temp,10.32110606
3/11/2018,sibuyan,1,Sal,14979.95455
3/11/2018,sibuyan,1,Velu,-1.041666667
3/11/2018,sibuyan,1,Velv,0.791666667
3/11/2018,tablas,0,Temp,27.27546667
3/11/2018,tablas,0,Sal,13708.04167
3/11/2018,tablas,0,Velu,-69.675
3/11/2018,tablas,0,Velv,-11.79166667
3/11/2018,tablas,1,Temp,11.70705952
3/11/2018,tablas,1,Sal,14786.80952
3/11/2018,tablas,1,Velu,-3.2
3/11/2018,tablas,1,Velv,19.03333333
3/11/2018,surigao,0,Temp,27.84695833
3/11/2018,surigao,0,Sal,14175.24306
3/11/2018,surigao,0,Velu,-411.625
3/11/2018,surigao,0,Velv,-166.8958333
3/11/2018,surigao,1,Temp,10.56547222
3/11/2018,surigao,1,Sal,14548.43056
3/11/2018,surigao,1,Velu,2.618055556
3/11/2018,surigao,1,Velv,-2.305555556
3/11/2018,Mindoro,0,Temp,28.30830159
3/11/2018,Mindoro,0,Sal,13736.33333
3/11/2018,Mindoro,0,Velu,-69.58730159
3/11/2018,Mindoro,0,Velv,72.00793651
3/11/2018,Mindoro,1,Temp,7.002944444
3/11/2018,Mindoro,1,Sal,14580.81481
3/11/2018,Mindoro,1,Velu,0.928571429
3/11/2018,Mindoro,1,Velv,-6.365079365
12/24/2017,Visayan,0,Temp,27.86909286
12/24/2017,Visayan,0,Sal,14138.85714
12/24/2017,Visayan,0,Velu,-66.48571429
12/24/2017,Visayan,0,Velv,20.12142857
12/24/2017,southsibuyan,0,Temp,28.30326429
12/24/2017,southsibuyan,0,Sal,14138.22143
12/24/2017,southsibuyan,0,Velu,-140.3142857
12/24/2017,southsibuyan,0,Velv,-32.05
12/24/2017,southsibuyan,1,Temp,15.23824675
12/24/2017,southsibuyan,1,Sal,16223.27273
12/24/2017,southsibuyan,1,Velu,-1.467532468
12/24/2017,southsibuyan,1,Velv,-1.844155844
12/24/2017,sibuyan,0,Temp,27.95702857
12/24/2017,sibuyan,0,Sal,14069.19286
12/24/2017,sibuyan,0,Velu,-147.8714286
12/24/2017,sibuyan,0,Velv,-54.05714286
12/24/2017,sibuyan,1,Temp,11.11215584
12/24/2017,sibuyan,1,Sal,15161.09091
12/24/2017,sibuyan,1,Velu,2.636363636
12/24/2017,sibuyan,1,Velv,-0.285714286
12/24/2017,tablas,0,Temp,28.17761429
12/24/2017,tablas,0,Sal,13920.16429
12/24/2017,tablas,0,Velu,-75.50714286
12/24/2017,tablas,0,Velv,-239.05
12/24/2017,tablas,1,Temp,12.78677551
12/24/2017,tablas,1,Sal,15262.7551
12/24/2017,tablas,1,Velu,-0.37755102
12/24/2017,tablas,1,Velv,16.64285714
12/24/2017,surigao,0,Temp,27.68242262
12/24/2017,surigao,0,Sal,14147.875
12/24/2017,surigao,0,Velu,-241.3392857
12/24/2017,surigao,0,Velv,-118.6964286
12/24/2017,surigao,1,Temp,11.17488095
12/24/2017,surigao,1,Sal,14714.71429
12/24/2017,surigao,1,Velu,1.488095238
12/24/2017,surigao,1,Velv,-1.726190476
12/24/2017,Mindoro,0,Temp,28.48320408
12/24/2017,Mindoro,0,Sal,13213.34694
12/24/2017,Mindoro,0,Velu,108.414966
12/24/2017,Mindoro,0,Velv,-258.4557823
12/24/2017,Mindoro,1,Temp,7.719174603
12/24/2017,Mindoro,1,Sal,14678.52381
12/24/2017,Mindoro,1,Velu,7.285714286
12/24/2017,Mindoro,1,Velv,-7.492063492
2/4/2018,Visayan,0,Temp,27.31089286
2/4/2018,Visayan,0,Sal,14374.26429
2/4/2018,Visayan,0,Velu,-122.45
2/4/2018,Visayan,0,Velv,-13.45714286
2/4/2018,southsibuyan,0,Temp,27.60645714
2/4/2018,southsibuyan,0,Sal,13984.02857
2/4/2018,southsibuyan,0,Velu,-218.8714286
2/4/2018,southsibuyan,0,Velv,-65.66428571
2/4/2018,southsibuyan,1,Temp,14.94720779
2/4/2018,southsibuyan,1,Sal,16134.06494
2/4/2018,southsibuyan,1,Velu,-4.064935065
2/4/2018,southsibuyan,1,Velv,3.779220779
2/4/2018,sibuyan,0,Temp,27.36102857
2/4/2018,sibuyan,0,Sal,13975.98571
2/4/2018,sibuyan,0,Velu,-82.12142857
2/4/2018,sibuyan,0,Velv,12.08571429
2/4/2018,sibuyan,1,Temp,11.09681818
2/4/2018,sibuyan,1,Sal,15177.7013
2/4/2018,sibuyan,1,Velu,2.584415584
2/4/2018,sibuyan,1,Velv,5.831168831
2/4/2018,tablas,0,Temp,27.17903571
2/4/2018,tablas,0,Sal,13783.45714
2/4/2018,tablas,0,Velu,-76.99285714
2/4/2018,tablas,0,Velv,-221.4928571
2/4/2018,tablas,1,Temp,11.95828571
2/4/2018,tablas,1,Sal,14928.30612
2/4/2018,tablas,1,Velu,-3.040816327
2/4/2018,tablas,1,Velv,31.67346939
2/4/2018,surigao,0,Temp,27.45231548
2/4/2018,surigao,0,Sal,14178.0119
2/4/2018,surigao,0,Velu,-251.797619
2/4/2018,surigao,0,Velv,-198.7738095
2/4/2018,surigao,1,Temp,10.68195238
2/4/2018,surigao,1,Sal,14635.57143
2/4/2018,surigao,1,Velu,5.166666667
2/4/2018,surigao,1,Velv,-5.678571429
2/4/2018,Mindoro,0,Temp,28.15252381
2/4/2018,Mindoro,0,Sal,13671.93197
2/4/2018,Mindoro,0,Velu,25.41496599
2/4/2018,Mindoro,0,Velv,-45.46938776
2/4/2018,Mindoro,1,Temp,7.211174603
2/4/2018,Mindoro,1,Sal,14646.34921
2/4/2018,Mindoro,1,Velu,-1.19047619
2/4/2018,Mindoro,1,Velv,-8.857142857
4/23/2016,Visayan,0,Temp,28.51556429
4/23/2016,Visayan,0,Sal,14711.13571
4/23/2016,Visayan,0,Velu,-214.2142857
4/23/2016,Visayan,0,Velv,75.74285714
4/23/2016,southsibuyan,0,Temp,29.29515714
4/23/2016,southsibuyan,0,Sal,14641.45
4/23/2016,southsibuyan,0,Velu,-123.2571429
4/23/2016,southsibuyan,0,Velv,65.17857143
4/23/2016,southsibuyan,1,Temp,16.55690909
4/23/2016,southsibuyan,1,Sal,17068.93506
4/23/2016,southsibuyan,1,Velu,1.103896104
4/23/2016,southsibuyan,1,Velv,-4.935064935
4/23/2016,sibuyan,0,Temp,29.45305
4/23/2016,sibuyan,0,Sal,14621.15714
4/23/2016,sibuyan,0,Velu,-144.8071429
4/23/2016,sibuyan,0,Velv,79.72857143
4/23/2016,sibuyan,1,Temp,12.93081818
4/23/2016,sibuyan,1,Sal,15941.23377
4/23/2016,sibuyan,1,Velu,-1.363636364
4/23/2016,sibuyan,1,Velv,1.454545455
4/23/2016,tablas,0,Temp,29.38142857
4/23/2016,tablas,0,Sal,14518.02857
4/23/2016,tablas,0,Velu,-73.79285714
4/23/2016,tablas,0,Velv,-63.08571429
4/23/2016,tablas,1,Temp,12.32026531
4/23/2016,tablas,1,Sal,15042.5102
4/23/2016,tablas,1,Velu,0.326530612
4/23/2016,tablas,1,Velv,10.46938776
4/23/2016,surigao,0,Temp,28.35421429
4/23/2016,surigao,0,Sal,14598.22619
4/23/2016,surigao,0,Velu,-311.7678571
4/23/2016,surigao,0,Velv,-72.10119048
4/23/2016,surigao,1,Temp,10.88588095
4/23/2016,surigao,1,Sal,14659.32143
4/23/2016,surigao,1,Velu,2.928571429
4/23/2016,surigao,1,Velv,-4.94047619
