"","date","site","weekn","week","year"
"1",2012-01-19,"1","1",3,2012
"2",2012-01-26,"1","2",4,2012
"3",2012-02-02,"1","3",5,2012
"4",2012-02-09,"1","4",6,2012
"5",2012-02-16,"1","5",7,2012
"6",2012-02-23,"1","6",8,2012
"7",2012-03-01,"1","7",9,2012
"8",2012-03-08,"1","8",10,2012
"9",2012-03-15,"1","9",11,2012
"10",2012-03-22,"1","10",12,2012
"11",2012-03-29,"1","11",13,2012
"12",2012-04-05,"0.571428571428571","12",14,2012
"13",2012-04-12,"0","13",15,2012
"14",2012-04-19,"0","14",16,2012
"15",2012-04-26,"0","15",17,2012
"16",2012-05-03,"0","16",18,2012
"17",2012-05-10,"0","17",19,2012
"18",2012-05-17,"0.285714285714286","18",20,2012
"19",2012-05-24,"1","19",21,2012
"20",2012-05-31,"1","20",22,2012
"21",2012-06-07,"1","21",23,2012
"22",2012-06-14,"1","22",24,2012
"23",2012-06-21,"1.14285714285714","23",25,2012
"24",2012-06-28,"2","24",26,2012
"25",2012-07-05,"2","25",27,2012
"26",2012-07-12,"2","26",28,2012
"27",2012-07-19,"2","27",29,2012
"28",2012-07-26,"1.85714285714286","28",30,2012
"29",2012-08-02,"1","29",31,2012
"30",2012-08-09,"1","30",32,2012
"31",2012-08-16,"1","31",33,2012
"32",2012-08-23,"1","32",34,2012
"33",2012-08-30,"1","33",35,2012
"34",2012-09-06,"1","34",36,2012
"35",2012-09-13,"1","35",37,2012
"36",2012-09-20,"1","36",38,2012
"37",2012-09-27,"1","37",39,2012
"38",2012-10-04,"1","38",40,2012
"39",2012-10-11,"1","39",41,2012
"40",2012-10-18,"0","40",42,2012
"41",2012-10-25,"0","41",43,2012
"42",2012-11-01,"0","42",44,2012
"43",2012-11-08,"0","43",45,2012
"44",2012-11-15,"0","44",46,2012
"45",2012-11-22,"0","45",47,2012
"46",2012-11-29,"0","46",48,2012
"47",2012-12-06,"0","47",49,2012
"48",2012-12-13,"0","48",50,2012
"49",2012-12-20,"0","49",51,2012
"50",2012-12-27,"0","50",52,2012
"51",2013-01-03,"0","51",1,2013
"52",2013-01-10,"0","52",2,2013
"53",2013-01-17,"0","53",3,2013
"54",2013-01-24,"0","54",4,2013
"55",2013-01-31,"0","55",5,2013
"56",2013-02-07,"0","56",6,2013
"57",2013-02-14,"0","57",7,2013
"58",2013-02-21,"0","58",8,2013
"59",2013-02-28,"0","59",9,2013
"60",2013-03-07,"0","60",10,2013
"61",2013-03-14,"0","61",11,2013
"62",2013-03-21,"0","62",12,2013
"63",2013-03-28,"0","63",13,2013
"64",2013-04-04,"0","64",14,2013
"65",2013-04-11,"0","65",15,2013
"66",2013-04-18,"0","66",16,2013
"67",2013-04-25,"0","67",17,2013
"68",2013-05-02,"0","68",18,2013
"69",2013-05-09,"0","69",19,2013
"70",2013-05-16,"0","70",20,2013
"71",2013-05-23,"0","71",21,2013
"72",2013-05-30,"0","72",22,2013
